E4B880 一
E69FB4 柴
E69FBF 柿
E6A085 栅
E6A087 标
E6A088 栈
E6A08B 栋
E6A08F 栏
E6A091 树
E6A093 栓
E6A096 栖
E6A097 栗
E6A0A1 校
E6A0AA 株
E6A0B7 样
E6A0B8 核
E6A0B9 根
E6A0BC 格
E6A0BD 栽
E6A182 桂
E6A183 桃
E6A185 桅
E6A186 框
E6A188 案
E6A18C 桌
E6A190 桐
E6A191 桑
E6A193 桓
E6A194 桔
E6A1A3 档
E6A1A5 桥
E6A1A6 桦
E6A1A8 桨
E6A1A9 桩
E6A1B6 桶
E6A281 梁
E6A285 梅
E6A286 梆
E6A297 梗
E6A2A2 梢
E6A2A6 梦
E6A2A7 梧
E6A2A8 梨
E6A2AD 梭
E6A2AF 梯
E6A2B0 械
E6A2B3 梳
E6A380 检
E6A389 棉
E6A38B 棋
E6A38D 棍
E6A392 棒
E6A395 棕
E6A398 棘
E6A39A 棚
E6A3A0 棠
E6A3AE 森
E6A3B1 棱
E6A3B5 棵
E6A3BA 棺
E6A485 椅
E6A48D 植
E6A48E 椎
E6A492 椒
E6A4AD 椭
E6A4B0 椰
E6A4BD 椽
E6A4BF 椿
E6A594 楔
E6A59A 楚
E6A59E 楞
E6A5A3 楣
E6A5B7 楷
E6A5BC 楼
E6A682 概
E6A684 榄
E6A686 榆
E6A694 榔
E6A695 榕
E6A69B 榛
E6A69C 榜
E6A6A8 榨
E6A6B4 榴
E6A6B7 榷
E6A790 槐
E6A79B 槛
E6A7BD 槽
E6A88A 樊
E6A89F 樟
E6A8A1 模
E6A8AA 横
E6A8B1 樱
E6A984 橄
E6A987 橇
E6A998 橘
E6A999 橙
E6A9A1 橡
E6A9B1 橱
E6AA80 檀
E6AA84 檄
E6AA90 檐
E6AAA9 檩
E6AAAC 檬
E6ACA0 欠
E6ACA1 次
E6ACA2 欢
E6ACA3 欣
E6ACA7 欧
E6ACB2 欲
E6ACBA 欺
E6ACBE 款
E6AD87 歇
E6AD89 歉
E6AD8C 歌
E6ADA2 止
E6ADA3 正
E6ADA4 此
E6ADA5 步
E6ADA6 武
E6ADA7 歧
E6ADAA 歪
E6ADB9 歹
E6ADBB 死
E6ADBC 歼
E6AE83 殃
E6AE86 殆
E6AE89 殉
E6AE8A 殊
E6AE8B 残
E6AE96 殖
E6AEB4 殴
E6AEB5 段
E6AEB7 殷
E6AEBF 殿
E6AF81 毁
E6AF85 毅
E6AF8B 毋
E6AF8D 母
E6AF8F 每
E6AF92 毒
E6AF94 比
E6AF95 毕
E6AF96 毖
E6AF97 毗
E6AF99 毙
E6AF9B 毛
E6AFA1 毡
E6AFAB 毫
E6AFAF 毯
E6B08F 氏
E6B091 民
E6B093 氓
E6B094 气
E6B096 氖
E6B09B 氛
E6B09F 氟
E6B0A2 氢
E6B0A6 氦
E6B0A7 氧
E6B0A8 氨
E6B0AE 氮
E6B0AF 氯
E6B0B0 氰
E6B0B4 水
E6B0B8 永
E6B180 汀
E6B181 汁
E6B182 求
E6B187 汇
E6B189 汉
E6B190 汐
E6B195 汕
E6B197 汗
E6B19B 汛
E6B19D 汝
E6B19E 汞
E6B19F 江
E6B1A0 池
E6B1A1 污
E6B1A4 汤
E6B1AA 汪
E6B1B0 汰
E6B1B2 汲
E6B1B9 汹
E6B1BD 汽
E6B1BE 汾
E6B281 沁
E6B282 沂
E6B283 沃
E6B288 沈
E6B289 沉
E6B28F 沏
E6B290 沐
E6B299 沙
E6B29B 沛
E6B29F 沟
E6B2A1 没
E6B2A4 沤
E6B2A5 沥
E6B2A6 沦
E6B2A7 沧
E6B2AA 沪
E6B2AB 沫
E6B2AE 沮
E6B2B3 河
E6B2B8 沸
E6B2B9 油
E6B2BB 治
E6B2BC 沼
E6B2BD 沽
E6B2BE 沾
E6B2BF 沿
E6B384 泄
E6B385 泅
E6B389 泉
E6B38A 泊
E6B38C 泌
E6B395 法
E6B39B 泛
E6B39E 泞
E6B3A1 泡
E6B3A2 波
E6B3A3 泣
E6B3A5 泥
E6B3A8 注
E6B3AA 泪
E6B3B0 泰
E6B3B3 泳
E6B3B5 泵
E6B3BB 泻
E6B3BC 泼
E6B3BD 泽
E6B481 洁
E6B48B 洋
E6B492 洒
E6B497 洗
E6B49B 洛
E6B49E 洞
E6B4A5 津
E6B4AA 洪
E6B4B1 洱
E6B4B2 洲
E6B4BB 活
E6B4BC 洼
E6B4BD 洽
E6B4BE 派
E6B581 流
E6B585 浅
E6B586 浆
E6B587 浇
E6B58A 浊
E6B58B 测
E6B58E 济
E6B591 浑
E6B593 浓
E6B599 浙
E6B59A 浚
E6B5A6 浦
E6B5A9 浩
E6B5AA 浪
E6B5AE 浮
E6B5B4 浴
E6B5B7 海
E6B5B8 浸
E6B682 涂
E6B685 涅
E6B688 消
E6B689 涉
E6B68C 涌
E6B68E 涎
E6B695 涕
E6B69B 涛
E6B69D 涝
E6B69F 涟
E6B6A1 涡
E6B6A3 涣
E6B6A4 涤
E6B6A6 润
E6B6A7 涧
E6B6A8 涨
E6B6A9 涩
E6B6AA 涪
E6B6AE 涮
E6B6AF 涯
E6B6B2 液
E6B6B5 涵
E6B6B8 涸
E6B780 淀
E6B784 淄
E6B786 淆
E6B78B 淋
E6B78C 淌
E6B791 淑
E6B796 淖
E6B798 淘
E6B7A1 淡
E6B7A4 淤
E6B7AB 淫
E6B7AC 淬
E6B7AE 淮
E6B7B1 深
E6B7B3 淳
E6B7B7 混
E6B7B9 淹
E6B7BB 添
E6B885 清
E6B88A 渊
E6B88D 渍
E6B890 渐
E6B894 渔
E6B897 渗
E6B89D 渝
E6B8A0 渠
E6B8A1 渡
E6B8A3 渣
E6B8A4 渤
E6B8A9 温
E6B8AD 渭
E6B8AF 港
E6B8B4 渴
E6B8B8 游
E6B8BA 渺
E6B983 湃
E6B98D 湍
E6B996 湖
E6B998 湘
E6B99B 湛
E6B9BE 湾
E6B9BF 湿
E6BA83 溃
E6BA85 溅
E6BA89 溉
E6BA90 源
E6BA9C 溜
E6BAA2 溢
E6BAAA 溪
E6BAAF 溯
E6BAB6 溶
E6BABA 溺
E6BB81 滁
E6BB87 滇
E6BB8B 滋
E6BB91 滑
E6BB93 滓
E6BB94 滔
E6BB9A 滚
E6BB9E 滞
E6BBA1 满
E6BBA4 滤
E6BBA5 滥
E6BBA6 滦
E6BBA8 滨
E6BBA9 滩
E6BBB4 滴
E6BC82 漂
E6BC86 漆
E6BC8F 漏
E6BC93 漓
E6BC94 演
E6BCA0 漠
E6BCA9 漩
E6BCAB 漫
E6BCB1 漱
E6BCB3 漳
E6BCBE 漾
E6BD8D 潍
E6BD98 潘
E6BD9C 潜
E6BD9E 潞
E6BDA6 潦
E6BDAD 潭
E6BDAE 潮
E6BE84 澄
E6BE88 澈
E6BE8E 澎
E6BE9C 澜
E6BEA1 澡
E6BEB3 澳
E6BF80 激
E6BF92 濒
E78091 瀑
E7818C 灌
E781AB 火
E781AD 灭
E781AF 灯
E781B0 灰
E781B5 灵
E781B6 灶
E781B8 灸
E781BC 灼
E781BE 灾
E781BF 灿
E78289 炉
E7828A 炊
E7828E 炎
E78292 炒
E78294 炔
E78295 炕
E78299 炙
E782AB 炫
E782AC 炬
E782AD 炭
E782AE 炮
E782AF 炯
E782B3 炳
E782B8 炸
E782B9 点
E782BC 炼
E782BD 炽
E78381 烁
E78382 烂
E78383 烃
E78388 烈
E78398 烘
E78399 烙
E7839B 烛
E7839F 烟
E783A4 烤
E783A6 烦
E783A7 烧
E783A9 烩
E783AB 烫
E783AC 烬
E783AD 热
E783AF 烯
E783B7 烷
E783B9 烹
E783BD 烽
E78489 焉
E7848A 焊
E78495 焕
E78499 焙
E7849A 焚
E784A6 焦
E784B0 焰
E784B6 然
E7858C 煌
E7858E 煎
E7859E 煞
E785A4 煤
E785A7 照
E785AE 煮
E785BD 煽
E78684 熄
E7868A 熊
E7868F 熏
E78694 熔
E78699 熙
E7869F 熟
E786AC 熬
E78783 燃
E7878E 燎
E78795 燕
E787A5 燥
E78886 爆
E788AA 爪
E788AC 爬
E788B1 爱
E788B5 爵
E788B6 父
E788B7 爷
E788B8 爸
E788B9 爹
E788BD 爽
E78987 片
E78988 版
E7898C 牌
E7898D 牍
E78999 牙
E7899B 牛
E7899F 牟
E789A1 牡
E789A2 牢
E789A7 牧
E789A9 物
E789B2 牲
E789B5 牵
E789B9 特
E789BA 牺
E78A80 犀
E78A81 犁
E78A8A 犊
E78AAC 犬
E78AAF 犯
E78AB6 状
E78AB9 犹
E78B82 狂
E78B84 狄
E78B88 狈
E78B90 狐
E78B97 狗
E78B99 狙
E78B9E 狞
E78BA0 狠
E78BA1 狡
E78BAC 独
E78BAD 狭
E78BAE 狮
E78BB0 狰
E78BB1 狱
E78BB8 狸
E78BBC 狼
E78C8E 猎
E78C96 猖
E78C9B 猛
E78C9C 猜
E78CA9 猩
E78CAA 猪
E78CAB 猫
E78CAC 猬
E78CAE 献
E78CB4 猴
E78CBE 猾
E78CBF 猿
E78DAD 獭
E78E84 玄
E78E87 率
E78E89 玉
E78E8B 王
E78E96 玖
E78E9B 玛
E78EA9 玩
E78EAB 玫
E78EAF 环
E78EB0 现
E78EB2 玲
E78EB7 玷
E78EBB 玻
E78F8A 珊
E78F8D 珍
E78F90 珐
E78FA0 珠
E78FAD 班
E79083 球
E79085 琅
E79086 理
E79089 琉
E79090 琐
E790A2 琢
E790B3 琳
E790B4 琴
E790B5 琵
E790B6 琶
E790BC 琼
E7919A 瑚
E7919E 瑞
E7919F 瑟
E791B0 瑰
E791B6 瑶
E79283 璃
E792A7 璧
E7939C 瓜
E793A2 瓢
E793A3 瓣
E793A4 瓤
E793A6 瓦
E793AE 瓮
E793B6 瓶
E793B7 瓷
E79484 甄
E79498 甘
E7949A 甚
E7949C 甜
E7949F 生
E794A5 甥
E794A8 用
E794A9 甩
E794AB 甫
E794AD 甭
E794B0 田
E794B1 由
E794B2 甲
E794B3 申
E794B5 电
E794B7 男
E794B8 甸
E794BB 画
E79585 畅
E7958C 界
E7958F 畏
E79594 畔
E79599 留
E7959C 畜
E795A5 略
E795A6 畦
E795AA 番
E795B4 畴
E795B8 畸
E79686 疆
E7968F 疏
E79691 疑
E79697 疗
E79699 疙
E7969A 疚
E7969F 疟
E796A1 疡
E796A4 疤
E796A5 疥
E796AB 疫
E796AE 疮
E796AF 疯
E796B2 疲
E796B5 疵
E796B9 疹
E796BC 疼
E796BD 疽
E796BE 疾
E79785 病
E79787 症
E79788 痈
E79789 痉
E7978A 痊
E79792 痒
E79794 痔
E79795 痕
E79798 痘
E7979B 痛
E7979E 痞
E797A2 痢
E797AA 痪
E797B0 痰
E797B4 痴
E797B9 痹
E79881 瘁
E7989F 瘟
E798A4 瘤
E798A6 瘦
E798A9 瘩
E798AA 瘪
E798AB 瘫
E798B4 瘴
E798B8 瘸
E798BE 瘾
E7998C 癌
E7999E 癞
E799A3 癣
E799B8 癸
E799BB 登
E799BD 白
E799BE 百
E79A82 皂
E79A84 的
E79A86 皆
E79A87 皇
E79A8B 皋
E79A91 皑
E79A96 皖
E79AAE 皮
E79AB1 皱
E79ABF 皿
E79B82 盂
E79B85 盅
E79B86 盆
E79B88 盈
E79B8A 益
E79B8E 盎
E79B8F 盏
E79B90 盐
E79B91 监
E79B92 盒
E79B94 盔
E79B96 盖
E79B97 盗
E79B98 盘
E79B9B 盛
E79B9F 盟
E79BAE 目
E79BAF 盯
E79BB2 盲
E79BB4 直
E79BB8 相
E79BB9 盹
E79BBC 盼
E79BBE 盾
E79C81 省
E79C89 眉
E79C8B 看
E79C9F 真
E79CA0 眠
E79CA8 眨
E79CA9 眩
E79CAF 眯
E79CB6 眶
E79CB7 眷
E79CBA 眺
E79CBC 眼
E79D80 着
E79D81 睁
E79D9B 睛
E79DA1 睡
E79DA3 督
E79DA6 睦
E79DAB 睫
E79DAC 睬
E79DB9 睹
E79E84 瞄
E79E85 瞅
E79E8E 瞎
E79E92 瞒
E79EA5 瞥
E79EA7 瞧
E79EA9 瞩
E79EAA 瞪
E79EAC 瞬
E79EAD 瞭
E79EB3 瞳
E79EBB 瞻
E79F97 矗
E79F9B 矛
E79FA2 矢
E79FA3 矣
E79FA5 知
E79FA9 矩
E79FAB 矫
E79FAD 短
E79FAE 矮
E79FB3 石
E79FBD 矽
E79FBE 矾
E79FBF 矿
E7A081 码
E7A082 砂
E7A08C 砌
E7A08D 砍
E7A092 砒
E7A094 研
E7A096 砖
E7A09A 砚
E7A0A7 砧
E7A0B0 砰
E7A0B4 破
E7A0B7 砷
E7A0B8 砸
E7A0BE 砾
E7A180 础
E7A185 硅
E7A192 硒
E7A195 硕
E7A19D 硝
E7A1AB 硫
E7A1AC 硬
E7A1AE 确
E7A1B7 硷
E7A1BC 硼
E7A289 碉
E7A28C 碌
E7A28D 碍
E7A28E 碎
E7A291 碑
E7A297 碗
E7A298 碘
E7A29F 碟
E7A2A7 碧
E7A2B0 碰
E7A2B1 碱
E7A2B3 碳
E7A2B4 碴
E7A2BE 碾
E7A381 磁
E7A385 磅
E7A38A 磊
E7A38B 磋
E7A390 磐
E7A395 磕
E7A3A8 磨
E7A3B7 磷
E7A3BA 磺
E7A481 礁
E7A4BA 示
E7A4BC 礼
E7A4BE 社
E7A581 祁
E7A588 祈
E7A596 祖
E7A59D 祝
E7A59E 神
E7A59F 祟
E7A5A0 祠
E7A5A5 祥
E7A5A8 票
E7A5AD 祭
E7A5B7 祷
E7A5B8 祸
E7A680 禀
E7A681 禁
E7A684 禄
E7A68F 福
E7A6B9 禹
E7A6BB 离
E7A6BD 禽
E7A6BE 禾
E7A780 秀
E7A781 私
E7A783 秃
E7A786 秆
E7A789 秉
E7A78B 秋
E7A78D 种
E7A791 科
E7A792 秒
E7A795 秕
E7A798 秘
E7A79F 租
E7A7A4 秤
E7A7A6 秦
E7A7A7 秧
E7A7A9 秩
E7A7AB 秫
E7A7AF 积
E7A7B0 称
E7A7B8 秸
E7A7BB 移
E7A7BD 秽
E7A880 稀
E7A88B 程
E7A88D 稍
E7A88E 税
E7A897 稗
E7A89A 稚
E7A8A0 稠
E7A8B3 稳
E7A8BB 稻
E7A8BC 稼
E7A8BD 稽
E7A8BF 稿
E7A986 穆
E7A997 穗
E7A9B4 穴
E7A9B6 究
E7A9B7 穷
E7A9BA 空
E7A9BF 穿
E7AA81 突
E7AA83 窃
E7AA84 窄
E7AA8D 窍
E7AA91 窑
E7AA92 窒
E7AA96 窖
E7AA97 窗
E7AA98 窘
E7AA9C 窜
E7AA9D 窝
E7AA9F 窟
E7AAA5 窥
E7AABF 窿
E7AB8B 立
E7AB96 竖
E7AB99 站
E7AB9E 竞
E7AB9F 竟
E7ABA0 章
E7ABA3 竣
E7ABA5 童
E7ABAD 竭
E7ABAF 端
E7ABB9 竹
E7ABBF 竿
E7AC86 笆
E7AC8B 笋
E7AC91 笑
E7AC94 笔
E7AC99 笙
E7AC9B 笛
E7ACA4 笤
E7ACA6 符
E7ACA8 笨
E7ACAC 第
E7ACBA 笺
E7ACBC 笼
E7AD89 等
E7AD8B 筋
E7AD8F 筏
E7AD90 筐
E7AD91 筑
E7AD92 筒
E7AD94 答
E7AD96 策
E7AD9B 筛
E7AD9D 筝
E7ADB7 筷
E7ADB9 筹
E7ADBE 签
E7AE80 简
E7AE8D 箍
E7AE94 箔
E7AE95 箕
E7AE97 算
E7AEA1 管
E7AEA9 箩
E7AEAB 箫
E7AEAD 箭
E7AEB1 箱
E7AF86 篆
E7AF87 篇
E7AF93 篓
E7AF99 篙
E7AFA1 篡
E7AFAE 篮
E7AFB1 篱
E7AFB7 篷
E7B087 簇
E7B0A7 簧
E7B0B8 簸
E7B0BF 簿
E7B18D 籍
E7B1B3 米
E7B1BB 类
E7B1BD 籽
E7B289 粉
E7B292 粒
E7B295 粕
E7B297 粗
E7B298 粘
E7B29F 粟
E7B2A4 粤
E7B2A5 粥
E7B2AA 粪
E7B2AE 粮
E7B2B1 粱
E7B2B3 粳
E7B2B9 粹
E7B2BE 精
E7B38A 糊
E7B395 糕
E7B396 糖
E7B399 糙
E7B39C 糜
E7B39F 糟
E7B3A0 糠
E7B3AF 糯
E7B3BB 系
E7B48A 紊
E7B4A0 素
E7B4A2 索
E7B4A7 紧
E7B4AB 紫
E7B4AF 累
E7B5AE 絮
E7B981 繁
E7BAA0 纠
E7BAA2 红
E7BAA4 纤
E7BAA6 约
E7BAA7 级
E7BAAA 纪
E7BAAB 纫
E7BAAC 纬
E7BAAF 纯
E7BAB1 纱
E7BAB2 纲
E7BAB3 纳
E7BAB5 纵
E7BAB6 纶
E7BAB7 纷
E7BAB8 纸
E7BAB9 纹
E7BABA 纺
E7BABD 纽
E7BABF 线
E7BB83 练
E7BB84 组
E7BB85 绅
E7BB86 细
E7BB87 织
E7BB88 终
E7BB8A 绊
E7BB8D 绍
E7BB8E 绎
E7BB8F 经
E7BB91 绑
E7BB92 绒
E7BB93 结
E7BB95 绕
E7BB98 绘
E7BB99 给
E7BB9A 绚
E7BB9C 络
E7BB9D 绝
E7BB9E 绞
E7BB9F 统
E7BBA2 绢
E7BBA3 绣
E7BBA5 绥
E7BBA6 绦
E7BBA7 继
E7BBA9 绩
E7BBAA 绪
E7BBAD 续
E7BBB0 绰
E7BBB3 绳
E7BBB4 维
E7BBB5 绵
E7BBB7 绷
E7BBB8 绸
E7BBBC 综
E7BBBD 绽
E7BBBF 绿
E7BC80 缀
E7BC84 缄
E7BC85 缅
E7BC86 缆
E7BC89 缉
E7BC8E 缎
E7BC93 缓
E7BC94 缔
E7BC95 缕
E7BC96 编
E7BC98 缘
E7BC9A 缚
E7BC9D 缝
E7BCA0 缠
E7BCA4 缤
E7BCA8 缨
E7BCA9 缩
E7BCAD 缭
E7BCAE 缮
E7BCB0 缰
E7BCB4 缴
E7BCB8 缸
E7BCBA 缺
E7BD90 罐
E7BD91 网
E7BD95 罕
E7BD97 罗
E7BD9A 罚
E7BDA2 罢
E7BDA9 罩
E7BDAA 罪
E7BDAE 置
E7BDB2 署
E7BE8A 羊
E7BE8C 羌
E7BE8E 美
E7BE94 羔
E7BE9A 羚
E7BE9E 羞
E7BEA1 羡
E7BEA4 群
E7BEB9 羹
E7BEBD 羽
E7BF81 翁
E7BF85 翅
E7BF8C 翌
E7BF8E 翎
E7BF94 翔
E7BF98 翘
E7BF9F 翟
E7BFA0 翠
E7BFA9 翩
E7BFB0 翰
E7BFB1 翱
E7BFBB 翻
E7BFBC 翼
E88080 耀
E88081 老
E88083 考
E88085 者
E8808C 而
E8808D 耍
E88090 耐
E88095 耕
E88097 耗
E88098 耘
E88099 耙
E880AA 耪
E880B3 耳
E880B6 耶
E880B8 耸
E880BB 耻
E880BD 耽
E880BF 耿
E88182 聂
E8818A 聊
E8818B 聋
E8818C 职
E88194 联
E88198 聘
E8819A 聚
E881AA 聪
E88283 肃
E88284 肄
E88286 肆
E88287 肇
E88289 肉
E8828B 肋
E8828C 肌
E88296 肖
E88298 肘
E8829A 肚
E8829B 肛
E8829D 肝
E882A0 肠
E882A1 股
E882A2 肢
E882A4 肤
E882A5 肥
E882A9 肩
E882AA 肪
E882AE 肮
E882AF 肯
E882B2 育
E882B4 肴
E882BA 肺
E882BE 肾
E882BF 肿
E88380 胀
E88381 胁
E88383 胃
E88386 胆
E8838C 背
E8838E 胎
E88396 胖
E8839A 胚
E8839C 胜
E8839E 胞
E883A1 胡
E883A7 胧
E883AF 胯
E883B0 胰
E883B3 胳
E883B6 胶
E883B8 胸
E883BA 胺
E883BD 能
E88482 脂
E88486 脆
E88489 脉
E8848A 脊
E8848F 脏
E88490 脐
E88491 脑
E88493 脓
E88496 脖
E8849A 脚
E884AF 脯
E884B1 脱
E884B8 脸
E884BE 脾
E88586 腆
E8858A 腊
E8858B 腋
E8858C 腌
E88590 腐
E88591 腑
E88594 腔
E88595 腕
E885A5 腥
E885AE 腮
E885B0 腰
E885B9 腹
E885BA 腺
E885BB 腻
E885BE 腾
E885BF 腿
E88680 膀
E8868A 膊
E8868F 膏
E88698 膘
E8869B 膛
E8869C 膜
E8869D 膝
E886A8 膨
E886B3 膳
E88780 臀
E88782 臂
E88783 臃
E88786 臆
E8878A 臊
E887A3 臣
E887AA 自
E887AD 臭
E887B3 至
E887B4 致
E887BB 臻
E887BC 臼
E88880 舀
E88885 舅
E88886 舆
E8888C 舌
E8888D 舍
E88892 舒
E88894 舔
E8889C 舜
E8889E 舞
E8889F 舟
E888AA 航
E888AC 般
E888B0 舰
E888B1 舱
E888B5 舵
E888B6 舶
E888B7 舷
E888B9 船
E88987 艇
E88998 艘
E889AF 良
E889B0 艰
E889B2 色
E889B3 艳
E889BA 艺
E889BE 艾
E88A82 节
E88A8B 芋
E88A8D 芍
E88A92 芒
E88A99 芙
E88A9C 芜
E88A9D 芝
E88AA5 芥
E88AA6 芦
E88AAC 芬
E88AAD 芭
E88AAF 芯
E88AB1 花
E88AB3 芳
E88AB9 芹
E88ABD 芽
E88B87 苇
E88B8D 苍
E88B8F 苏
E88B91 苑
E88B94 苔
E88B97 苗
E88B9B 苛
E88B9E 苞
E88B9F 苟
E88BA5 若
E88BA6 苦
E88BAB 苫
E88BAF 苯
E88BB1 英
E88BB9 苹
E88C81 茁
E88C82 茂
E88C83 范
E88C84 茄
E88C85 茅
E88C89 茉
E88C8E 茎
E88CA7 茧
E88CA8 茨
E88CAB 茫
E88CAC 茬
E88CB4 茴
E88CB5 茵
E88CB6 茶
E88CB8 茸
E88CB9 茹
E88D86 荆
E88D89 草
E88D90 荐
E88D92 荒
E88D94 荔
E88D9A 荚
E88D9E 荞
E88DA0 荠
E88DA1 荡
E88DA3 荣
E88DA4 荤
E88DA7 荧
E88DAB 荫
E88DAF 药
E88DB7 荷
E88DB8 荸
E88E86 莆
E88E89 莉
E88E8E 莎
E88EAB 莫
E88EB1 莱
E88EB2 莲
E88EB7 获
E88EB9 莹
E88EBA 莺
E88EBD 莽
E88F87 菇
E88F8A 菊
E88F8C 菌
E88F8F 菏
E88F9C 菜
E88FA0 菠
E88FA9 菩
E88FB1 菱
E88FB2 菲
E89084 萄
E8908C 萌
E8908D 萍
E8908E 萎
E8909D 萝
E890A4 萤
E890A5 营
E890A7 萧
E890A8 萨
E890BD 落
E89197 著
E8919B 葛
E891A1 葡
E891A3 董
E891AB 葫
E891AC 葬
E891B1 葱
E891B5 葵
E89282 蒂
E8928B 蒋
E89299 蒙
E8929C 蒜
E892B2 蒲
E892B8 蒸
E892BF 蒿
E89384 蓄
E89389 蓉
E89391 蓑
E89396 蓖
E8939D 蓝
E8939F 蓟
E893AC 蓬
E89491 蔑
E89493 蔓
E89497 蔗
E8949A 蔚
E894A1 蔡
E894AB 蔫
E894AC 蔬
E894B7 蔷
E894BC 蔼
E894BD 蔽
E89589 蕉
E8958A 蕊
E895B4 蕴
E895BE 蕾
E89684 薄
E89687 薇
E8969B 薛
E896AA 薪
E896AF 薯
E89789 藉
E8978F 藏
E89790 藐
E89795 藕
E897A4 藤
E897A9 藩
E897BB 藻
E89891 蘑
E898B8 蘸
E8998E 虎
E8998F 虏
E89990 虐
E89991 虑
E8999A 虚
E8999E 虞
E899AB 虫
E899B1 虱
E899B9 虹
E899BD 虽
E899BE 虾
E89A80 蚀
E89A81 蚁
E89A82 蚂
E89A8A 蚊
E89A8C 蚌
E89A93 蚓
E89A95 蚕
E89A9C 蚜
E89AA3 蚣
E89AA4 蚤
E89AAA 蚪
E89AAF 蚯
E89B80 蛀
E89B86 蛆
E89B87 蛇
E89B89 蛉
E89B8A 蛊
E89B8B 蛋
E89B94 蛔
E89B99 蛙
E89B9B 蛛
E89BA4 蛤
E89BAE 蛮
E89BB0 蛰
E89BB9 蛹
E89BBE 蛾
E89C80 蜀
E89C82 蜂
E89C88 蜈
E89C92 蜒
E89C93 蜓
E89C95 蜕
E89C97 蜗
E89C98 蜘
E89C9C 蜜
E89CA1 蜡
E89CBB 蜻
E89D87 蝇
E89D89 蝉
E89D8C 蝌
E89D8E 蝎
E89D97 蝗
E89D99 蝙
E89DA0 蝠
E89DB4 蝴
E89DB6 蝶
E89E83 螃
E89E8D 融
E89E9F 螟
E89EBA 螺
E89F80 蟀
E89F86 蟆
E89F8B 蟋
E89FA5 蟥
E89FB9 蟹
E8A095 蠕
E8A0A2 蠢
E8A180 血
E8A185 衅
E8A18C 行
E8A18D 衍
E8A194 衔
E8A197 街
E8A199 衙
E8A1A1 衡
E8A1A3 衣
E8A1A5 补
E8A1A8 表
E8A1A9 衩
E8A1AB 衫
E8A1AC 衬
E8A1B0 衰
E8A1B7 衷
E8A281 袁
E8A284 袄
E8A28B 袋
E8A28D 袍
E8A292 袒
E8A296 袖
E8A29C 袜
E8A2AB 被
E8A2AD 袭
E8A2B1 袱
E8A381 裁
E8A382 裂
E8A385 装
E8A386 裆
E8A394 裔
E8A395 裕
E8A399 裙
E8A3A4 裤
E8A3B3 裳
E8A3B4 裴
E8A3B8 裸
E8A3B9 裹
E8A482 褂
E8A490 褐
E8A492 褒
E8A4A5 褥
E8A4AA 褪
E8A584 襄
E8A59F 襟
E8A5BF 西
E8A681 要
E8A686 覆
E8A781 见
E8A782 观
E8A784 规
E8A785 觅
E8A786 视
E8A788 览
E8A789 觉
E8A792 角
E8A7A3 解
E8A7A6 触
E8A880 言
E8A9B9 詹
E8AA89 誉
E8AA8A 誊
E8AA93 誓
E8ADA6 警
E8ADAC 譬
E8AEA1 计
E8AEA2 订
E8AEA3 讣
E8AEA4 认
E8AEA5 讥
E8AEA8 讨
E8AEA9 让
E8AEAB 讫
E8AEAD 训
E8AEAE 议
E8AEAF 讯
E8AEB0 记
E8AEB2 讲
E8AEB3 讳
E8AEB6 讶
E8AEB8 许
E8AEB9 讹
E8AEBA 论
E8AEBC 讼
E8AEBD 讽
E8AEBE 设
E8AEBF 访
E8AF80 诀
E8AF81 证
E8AF84 评
E8AF85 诅
E8AF86 识
E8AF88 诈
E8AF89 诉
E8AF8A 诊
E8AF8C 诌
E8AF8D 词
E8AF91 译
E8AF95 试
E8AF97 诗
E8AF9A 诚
E8AF9B 诛
E8AF9D 话
E8AF9E 诞
E8AFA1 诡
E8AFA2 询
E8AFA3 诣
E8AFA5 该
E8AFA6 详
E8AFA7 诧
E8AFAB 诫
E8AFAC 诬
E8AFAD 语
E8AFAF 误
E8AFB1 诱
E8AFB2 诲
E8AFB4 说
E8AFB5 诵
E8AFB7 请
E8AFB8 诸
E8AFBA 诺
E8AFBB 读
E8AFBD 诽
E8AFBE 课
E8B081 谁
E8B083 调
E8B085 谅
E8B086 谆
E8B088 谈
E8B08A 谊
E8B08B 谋
E8B08D 谍
E8B08E 谎
E8B090 谐
E8B092 谒
E8B093 谓
E8B097 谗
E8B09A 谚
E8B09C 谜
E8B0A2 谢
E8B0A3 谣
E8B0A4 谤
E8B0A6 谦
E8B0A8 谨
E8B0A9 谩
E8B0AC 谬
E8B0AD 谭
E8B0B0 谰
E8B0B1 谱
E8B0B4 谴
E8B0B7 谷
E8B181 豁
E8B186 豆
E8B18C 豌
E8B1A1 象
E8B1A2 豢
E8B1AA 豪
E8B1AB 豫
E8B1B9 豹
E8B1BA 豺
E8B289 貉
E8B28C 貌
E8B49D 贝
E8B49E 贞
E8B49F 负
E8B4A1 贡
E8B4A2 财
E8B4A3 责
E8B4A4 贤
E8B4A5 败
E8B4A6 账
E8B4A7 货
E8B4A8 质
E8B4A9 贩
E8B4AA 贪
E8B4AB 贫
E8B4AC 贬
E8B4AD 购
E8B4AE 贮
E8B4AF 贯
E8B4B0 贰
E8B4B1 贱
E8B4B4 贴
E8B4B5 贵
E8B4B7 贷
E8B4B8 贸
E8B4B9 费
E8B4BA 贺
E8B4BC 贼
E8B4BE 贾
E8B4BF 贿
E8B581 赁
E8B582 赂
